mhs_nrp,keg_kode
216170340,KER0071
216170345,KER0071
216180366,KER0071
216180368,KER0071
216180369,KER0071
216180370,KER0071
216180371,KER0071
216180372,KER0071
216180373,KER0071
216180376,KER0071
213116202,KER0075
214116324,KER0075
214116383,KER0075
214116395,KER0075
214120611,KER0075
214170217,KER0075
214170242,KER0075
214170251,KER0075
215011654,KER0075
215116453,KER0075
215116483,KER0075
215120622,KER0075
215170274,KER0075
215180344,KER0075
215180347,KER0075
215180352,KER0075
215180360,KER0075
215180361,KER0075
216116563,KER0075
216120641,KER0075
216120658,KER0075
216140064,KER0075
216140066,KER0075
216180368,KER0075
216180371,KER0075
213140024,KER0076
214116358,KER0076
214120616,KER0076
214170214,KER0076
214170260,KER0076
215102569,KER0076
215116421,KER0076
215120619,KER0076
215120623,KER0076
215170267,KER0076
216011661,KER0076
216102583,KER0076
216102586,KER0076
216102587,KER0076
216116490,KER0076
216116510,KER0076
216116523,KER0076
216116542,KER0076
216116564,KER0076
216120638,KER0076
216120639,KER0076
216120657,KER0076
216140061,KER0076
216170301,KER0076
216170303,KER0076
216170320,KER0076
216170323,KER0076
216170332,KER0076
213116255,KER0077
213120583,KER0077
214116287,KER0077
214116307,KER0077
214116358,KER0077
214170200,KER0077
214170235,KER0077
214170260,KER0077
215011647,KER0077
215011651,KER0077
215011652,KER0077
215011655,KER0077
215102569,KER0077
215116410,KER0077
215116421,KER0077
215116430,KER0077
215116438,KER0077
215120619,KER0077
215120623,KER0077
215120627,KER0077
215120629,KER0077
215120630,KER0077
215120632,KER0077
215120633,KER0077
215120634,KER0077
215120635,KER0077
215140053,KER0077
215140057,KER0077
215170261,KER0077
215170265,KER0077
215170267,KER0077
215170270,KER0077
215170273,KER0077
216011661,KER0077
216011664,KER0077
216102583,KER0077
216102586,KER0077
216102587,KER0077
216116490,KER0077
216116498,KER0077
216116510,KER0077
216116526,KER0077
216116528,KER0077
216116545,KER0077
216116548,KER0077
216116564,KER0077
216120638,KER0077
216120639,KER0077
216120647,KER0077
216120652,KER0077
216120656,KER0077
216120657,KER0077
216140061,KER0077
216140068,KER0077
216170298,KER0077
216170301,KER0077
216170303,KER0077
216170322,KER0077
216170324,KER0077
216170325,KER0077
216170326,KER0077
216170328,KER0077
216170333,KER0077
216170336,KER0077
216170347,KER0077
216180374,KER0077
212011592,KER0078
214116294,KER0078
214116339,KER0078
214116360,KER0078
214180309,KER0078
215102577,KER0078
215116433,KER0078
215116447,KER0078
215116454,KER0078
215116461,KER0078
215116462,KER0078
215116470,KER0078
215116475,KER0078
215116481,KER0078
215120621,KER0078
215120637,KER0078
215140050,KER0078
215140059,KER0078
216116493,KER0078
216116497,KER0078
216116500,KER0078
216116522,KER0078
216116532,KER0078
216116533,KER0078
216116544,KER0078
216116558,KER0078
216120649,KER0078
216120651,KER0078
216170296,KER0078
